subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Batuceper,Kota Tangerang,57.0,114.0,850.0,SHM,2,1,1,0,2,1,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northwest,PAM/PDAM,False,5.0,city
Kebayoran Lama,Jakarta Selatan,320.0,450.0,4950.0,SHM,3,0,2,0,2,0,1,5,1,0,House Type >300,Unfurnished,4400.0,Well Maintained,Northeast,Groundwater,False,5.0,city
Cinere,Depok,78.0,36.0,590.0,SHM,1,0,1,0,1,0,1,2,1,0,House Type 36,Unfurnished,1200.0,Renovated,East,Groundwater,False,2.5,city
Penjaringan,Jakarta Utara,48.0,96.0,1750.0,SHM,2,1,1,0,2,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,South,Groundwater,False,5.0,city
Setiabudi,Jakarta Selatan,180.0,135.0,6700.0,SHM,1,0,2,0,0,0,1,2,1,0,House Type 200,Unfurnished,4200.0,New,East,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,200.0,278.0,4000.0,SHM,4,1,2,1,3,0,1,5,1,0,House Type 300,Unfurnished,4400.0,Renovated,Northwest,Groundwater,False,6.4,city
Cengkareng,Jakarta Barat,120.0,180.0,6000.0,SHM,11+,1,2,1,2,0,1,9+,1,0,House Type 200,Furnished,2200.0,New,East,Groundwater,False,7.5,city
Sawah Besar,Jakarta Pusat,184.0,412.0,5800.0,HGB,11+,0,2,0,0,0,1,9+,1,0,House Type >300,Furnished,3300.0,Renovated,North,Groundwater,False,5.0,city
Tanah Abang,Jakarta Pusat,201.0,310.0,7200.0,SHM,5,2,2,1,2,0,1,3,2,0,House Type >300,Unfurnished,4400.0,New,Northwest,PAM/PDAM,False,5.0,city
Cilandak,Jakarta Selatan,353.0,415.0,10500.0,SHM,3,1,3,1,2,1,2,4,1,0,House Type >300,Unfurnished,4400.0,Well Maintained,East,Groundwater,False,5.5,city
Pasar Minggu,Jakarta Selatan,311.0,300.0,3200.0,SHM,4,0,2,0,2,0,1,8,2,0,House Type 300,Unfurnished,4400.0,New,Northeast,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,822.0,400.0,16000.0,SHM,6,3,3,1,2,2,1,5,1,0,House Type >300,Unfurnished,23.0,Need Renovation,North,Groundwater,False,5.0,city
Tambun Selatan,Kabupaten Bekasi,180.0,127.0,2450.0,SHM,4,0,1,0,2,0,1,4,1,0,House Type 200,Unfurnished,3120.0,Renovated,Northwest,Groundwater,False,5.0,regency
Cikarang,Kabupaten Bekasi,60.0,102.0,780.0,SHM,3,0,1,0,2,0,1,4,1,1,House Type 120,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,6.0,regency
Cempaka Putih,Jakarta Pusat,209.0,150.0,4590.0,SHM,2,0,2,0,2,0,1,5,1,0,House Type 200,Unfurnished,10600.0,New,South,PAM/PDAM,False,7.5,city
Sawah Besar,Jakarta Pusat,184.0,412.0,5800.0,HGB,11+,0,3,0,4,0,1,9+,1,0,House Type >300,Furnished,33000.0,New,North,Groundwater,False,5.0,city
Palmerah,Jakarta Barat,142.0,350.0,6750.0,SHM,11+,0,2,0,3,0,1,9+,1,0,House Type >300,Furnished,1200.0,Need Renovation,Northwest,Groundwater,False,7.5,city
Menteng,Jakarta Pusat,920.0,680.0,45000.0,SHM,5,3,4,1,1,3+,2,5,1,2,House Type >300,Unfurnished,10000.0,Well Maintained,Northwest,Groundwater,False,5.5,city
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cengkareng,Jakarta Barat,120.0,180.0,6000.0,SHM,11+,1,1,1,0,0,1,9+,1,0,House Type 200,Furnished,2200.0,New,East,Groundwater,False,5.0,city
Tanah Sareal,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cileungsi,Kabupaten Bogor,60.0,63.0,950.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 70,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,8.0,regency
Tanjung Priok,Jakarta Utara,566.0,380.0,12500.0,SHM,7,2,2,1,0,1,1,7,1,0,House Type >300,Furnished,16500.0,Renovated,Southwest,Groundwater,True,5.8,city
Tanjung Priok,Jakarta Utara,126.0,240.0,3500.0,SHM,3,1,1,0,2.5,0,1,3,1,0,House Type 300,Unfurnished,5500.0,New,South,Groundwater,False,5.0,city
Tanjung Priok,Jakarta Utara,78.0,53.0,1700.0,SHM,1,1,1,0,1,0,1,2,1,0,House Type 54,Unfurnished,2200.0,Renovated,North,PAM/PDAM,False,2.5,city
Tanjung Priok,Jakarta Utara,98.0,140.0,2790.0,SHM,2,1,2,1,2,0,1,4,1,0,House Type 200,Semi Furnished,3500.0,Renovated,South,PAM/PDAM,False,5.0,city
Penjaringan,Jakarta Utara,240.0,240.0,10500.0,SHM,2,1,0,1,2.5,0,1,3,1,0,House Type 300,Semi Furnished,6600.0,Renovated,Northeast,Groundwater,False,6.0,city
Penjaringan,Jakarta Utara,525.0,700.0,33000.0,HGB,6,3,3,0,0,0,1,5,1,0,House Type >300,Furnished,5500.0,Well Maintained,West,Groundwater,False,7.5,city
Penjaringan,Jakarta Utara,175.0,350.0,4800.0,SHM,3,1,1,1,2,0,1,4,1,0,House Type >300,Semi Furnished,3300.0,New,Northeast,Groundwater,False,7.5,city
Tanah Sareal,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Batuceper,Kota Tangerang,84.0,168.0,1550.0,SHM,3,0,0,0,2,0,1,4,1,0,House Type 200,Unfurnished,3500.0,New,North,PAM/PDAM,False,4.2,city
Bogor Barat,Kota Bogor,136.0,220.0,1590.0,SHM,2,0,2,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Pagedangan,Kabupaten Tangerang,153.0,262.0,7400.0,HGB,5,0,2,0,3,0,1,4,1,0,House Type 300,Unfurnished,10600.0,New,Northwest,Groundwater,False,6.0,regency
Cakung,Jakarta Timur,505.0,375.0,3320.0,SHM,3,0,1,0,1.5,0,1,4,1,0,House Type >300,Unfurnished,3300.0,New,Northeast,Groundwater,False,5.5,city
Cengkareng,Jakarta Barat,160.0,145.0,1800.0,SHM,1,0,1,0,0,0,1,1,1,0,House Type 200,Unfurnished,3500.0,Well Maintained,Northeast,Groundwater,False,4.7,city
Setiabudi,Jakarta Selatan,360.0,235.0,13400.0,SHM,2,0,4,0,0,0,1,2,1,0,House Type 300,Unfurnished,7540.0,New,East,Groundwater,False,5.0,city
Kebayoran Lama,Jakarta Selatan,352.0,200.0,10000.0,SHM,4,0,3,0,1.5,0,1,6,1,0,House Type 200,Unfurnished,5000.0,New,Northeast,Groundwater,True,6.5,city
Bogor Barat,Kota Bogor,136.0,220.0,1490.0,SHM,2,0,1,0,0,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,5.0,city
Pagedangan,Kabupaten Tangerang,414.0,600.0,16000.0,HGB,3,0,0,0,0,0,1,4,1,0,House Type >300,Unfurnished,11584.6,Well Maintained,South,Groundwater,False,5.0,regency
Ciputat Timur,Tangerang Selatan,570.0,630.0,9500.0,SHM,5,4,10,2,1,0,1,7,1,0,House Type >300,Semi Furnished,16000.0,New,Northwest,Groundwater,False,5.0,city
Pamulang,Tangerang Selatan,130.0,170.0,1700.0,SHM,2,0,0,0,0,0,1,4,1,0,House Type 200,Semi Furnished,1300.0,Renovated,North,Groundwater,False,3.5,city
Setiabudi,Jakarta Selatan,1019.0,600.0,67500.0,SHM,5,0,0,0,0,0,1,5,1,0,House Type >300,Unfurnished,23000.0,New,Northwest,Groundwater,False,5.0,city
Tanah Sareal,Kota Bogor,216.0,290.0,2300.0,SHM,3,1,1,1,2,0,1,3,1,0,House Type 300,Unfurnished,4400.0,Renovated,East,Groundwater,True,5.0,city
Tanah Sareal,Kota Bogor,136.0,220.0,1400.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cikarang,Kabupaten Bekasi,60.0,40.0,300.0,SHM,1,0,0,0,0,0,1,2,1,0,House Type 45,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,regency
Kelapa Dua,Kabupaten Tangerang,60.0,49.0,959.0,SHM,2,0,2,0,0,0,1,2,1,0,House Type 54,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,6.0,regency
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cibinong,Kabupaten Bogor,90.0,102.0,515.0,SHM,2,0,1,0,0,0,1,4,1,0,House Type 120,Unfurnished,1740.0,Renovated,North,Groundwater,False,5.1,regency
Palmerah,Jakarta Barat,426.0,326.0,7500.0,SHM,11+,0,4,0,2,0,1,9+,1,0,House Type >300,Semi Furnished,8000.0,Renovated,Northeast,Groundwater,False,6.5,city
Duren Sawit,Jakarta Timur,126.0,250.0,3500.0,SHM,4,1,2,1,0,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,New,Northeast,Groundwater,False,4.5,city
Tanjung Priok,Jakarta Utara,108.0,231.0,2800.0,SHM,2,1,1,1,0,0,1,3,1,0,House Type 300,Semi Furnished,3500.0,Renovated,North,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,126.0,250.0,3500.0,SHM,4,1,2,1,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,New,Northeast,Groundwater,False,4.5,city
Bogor Tengah,Kota Bogor,135.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Gunung Sindur,Kabupaten Bogor,60.0,36.0,488.0,Other,1,0,0,0,0,0,1,2,1,0,House Type 36,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,regency
Gunung Sindur,Kabupaten Bogor,84.0,85.0,999.0,Other,2,0,0,0,0,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northwest,Groundwater,False,6.0,regency
